date,open,close,high,low
2013-01-02,"1,426.19","1,462.42","1,462.43","1,426.19"
2013-01-03,"1,462.42","1,459.37","1,465.47","1,455.53"
2013-01-04,"1,459.37","1,466.47","1,467.94","1,458.99"
2013-01-05,"1,459.37","1,466.47","1,467.94","1,458.99"
2013-01-06,"1,459.37","1,466.47","1,467.94","1,458.99"
2013-01-07,"1,466.47","1,461.89","1,466.47","1,456.62"
2013-01-08,"1,461.89","1,457.15","1,461.89","1,451.64"
2013-01-09,"1,457.15","1,461.02","1,464.73","1,457.15"
2013-01-10,"1,461.02","1,472.12","1,472.30","1,461.02"
2013-01-11,"1,472.12","1,472.05","1,472.75","1,467.58"
2013-01-12,"1,472.12","1,472.05","1,472.75","1,467.58"
2013-01-13,"1,472.12","1,472.05","1,472.75","1,467.58"
2013-01-14,"1,472.05","1,470.68","1,472.05","1,465.69"
2013-01-15,"1,470.67","1,472.34","1,473.31","1,463.76"
2013-01-16,"1,472.33","1,472.63","1,473.96","1,467.60"
2013-01-17,"1,472.63","1,480.94","1,485.16","1,472.63"
2013-01-18,"1,480.95","1,485.98","1,485.98","1,475.81"
2013-01-19,"1,480.95","1,485.98","1,485.98","1,475.81"
2013-01-20,"1,480.95","1,485.98","1,485.98","1,475.81"
2013-01-21,"1,480.95","1,485.98","1,485.98","1,475.81"
2013-01-22,"1,485.98","1,492.56","1,492.56","1,481.16"
2013-01-23,"1,492.56","1,494.81","1,496.13","1,489.90"
2013-01-24,"1,494.81","1,494.82","1,502.27","1,489.46"
2013-01-25,"1,494.82","1,502.96","1,503.26","1,494.82"
2013-01-26,"1,494.82","1,502.96","1,503.26","1,494.82"
2013-01-27,"1,494.82","1,502.96","1,503.26","1,494.82"
2013-01-28,"1,502.96","1,500.18","1,503.23","1,496.33"
2013-01-29,"1,500.18","1,507.84","1,509.35","1,498.09"
2013-01-30,"1,507.84","1,501.96","1,509.94","1,500.11"
2013-01-31,"1,501.96","1,498.11","1,504.19","1,496.76"
2013-02-01,"1,498.11","1,513.17","1,514.41","1,498.11"
2013-02-02,"1,498.11","1,513.17","1,514.41","1,498.11"
2013-02-03,"1,498.11","1,513.17","1,514.41","1,498.11"
2013-02-04,"1,513.17","1,495.71","1,513.17","1,495.02"
2013-02-05,"1,495.71","1,511.29","1,514.96","1,495.71"
2013-02-06,"1,511.29","1,512.12","1,512.53","1,504.71"
2013-02-07,"1,512.12","1,509.39","1,512.90","1,498.49"
2013-02-08,"1,509.39","1,517.93","1,518.31","1,509.39"
2013-02-09,"1,509.39","1,517.93","1,518.31","1,509.39"
2013-02-10,"1,509.39","1,517.93","1,518.31","1,509.39"
2013-02-11,"1,517.93","1,517.01","1,518.31","1,513.61"
2013-02-12,"1,517.01","1,519.43","1,522.29","1,515.61"
2013-02-13,"1,519.43","1,520.33","1,524.69","1,515.93"
2013-02-14,"1,520.33","1,521.38","1,523.14","1,514.02"
2013-02-15,"1,521.38","1,519.79","1,524.24","1,514.14"
2013-02-16,"1,521.38","1,519.79","1,524.24","1,514.14"
2013-02-17,"1,521.38","1,519.79","1,524.24","1,514.14"
2013-02-18,"1,521.38","1,519.79","1,524.24","1,514.14"
2013-02-19,"1,519.79","1,530.94","1,530.94","1,519.79"
2013-02-20,"1,530.94","1,511.95","1,530.94","1,511.41"
2013-02-21,"1,511.95","1,502.42","1,511.95","1,497.29"
2013-02-22,"1,502.42","1,515.60","1,515.64","1,502.42"
2013-02-23,"1,502.42","1,515.60","1,515.64","1,502.42"
2013-02-24,"1,502.42","1,515.60","1,515.64","1,502.42"
