date,ret_1d_ahead,up_1d_ahead,ret_7d_ahead,up_7d_ahead,ret_30d_ahead,up_30d_ahead
2013-01-02,0.9850417298646663,1,4.192080682341115,1,54.19573967734761,1
2013-01-03,0.6785081036709828,1,5.325094118712226,1,46.674298407604866,1
2013-01-04,-0.547782124060614,0,5.606738956552881,1,52.29868602949583,1
2013-01-05,0.5638314351362084,1,6.048793208725134,1,52.74413854693203,1
2013-01-06,0.5148957090111095,1,4.966212300970585,1,52.44392657208128,1
2013-01-07,1.6046922072079806,1,5.54502133927306,1,56.033140159636716,1
2013-01-08,0.33221846027711166,1,3.9748539224041313,1,60.23373078495098,1
2013-01-09,2.0831809397079404,1,6.4241453879530175,1,64.02876828883097,1
2013-01-10,0.9477277262704753,1,9.818071407293028,1,67.49080074899445,1
2013-01-11,-0.1314897904993506,0,10.0577256174603,1,67.91129202403671,1
2013-01-12,-0.46275718155883716,0,9.53205031133162,1,72.20176709500818,1
2013-01-13,1.0691591128728195,1,10.651144485868901,1,78.10342809545674,1
2013-01-14,0.09314410119238836,1,17.291931065861665,1,69.21136793039663,1
2013-01-15,2.6957019096286228,1,20.3972786243116,1,89.76749369736628,1
2013-01-16,5.338671154501706,1,18.822254146204088,1,83.78490741101649,1
2013-01-17,1.168024328153905,1,8.051676166883869,1,75.90436253015305,1
2013-01-18,-0.6084977368516875,0,11.192164047359277,1,71.2033163032592,1
2013-01-19,0.5542195688170048,1,14.01412455664035,1,72.59351640138485,1
2013-01-20,7.134877805675255,1,14.356099789614607,1,87.46451289543276,1
2013-01-21,2.743147369342891,1,11.681127055193553,1,77.30841521437786,1
2013-01-22,1.3522475878011475,1,13.18936740154697,1,72.10319060430237,1
2013-01-23,-4.2096948486505354,0,13.026699796771668,1,72.96700100629958,1
2013-01-24,4.1084410395383575,1,22.192610200126218,1,77.61918060557475,1
2013-01-25,1.913972229874239,1,17.352462024370464,1,71.16649685514813,1
2013-01-26,0.8558230131034961,1,10.610707565800826,1,70.76362142177915,1
2013-01-27,4.628821044707099,1,14.650275076794617,1,73.67278324428428,1
2013-01-28,4.130681362415789,1,9.296596724025363,1,64.92820654876066,1
2013-01-29,1.20659143888735,1,5.345336198423811,1,70.71734419425499,1
2013-01-30,3.558428577990802,1,7.088704224236464,1,74.61045171412736,1
2013-01-31,-0.015378560951484488,0,7.896926161687601,1,67.23975379791712,1
2013-02-01,-3.940859997920121,0,10.836386890691907,1,68.58467922888163,1
2013-02-02,4.539136454488957,1,20.273180403306835,1,83.94633394904932,1
2013-02-03,-0.2568981908343537,0,16.43281007168824,1,97.7419272083938,1
2013-02-04,0.366177589162775,1,19.558038446263957,1,101.42137517095256,1
2013-02-05,2.8814670611332582,1,22.634221417530398,1,103.23500590485986,1
2013-02-06,4.340006750880465,1,14.459129777106439,1,107.62422241462141,1
2013-02-07,2.7085254340893483,1,23.139162645381827,1,111.6689043587053,1
2013-02-08,4.237774245119463,1,19.242203123665867,1,102.96324860209079,1
2013-02-09,1.201160383792077,1,15.33456021946138,1,104.53573356080179,1
2013-02-10,2.4203537946693165,1,12.215488210322833,1,84.14902158283626,1
2013-02-11,2.948561261588556,1,9.781229547174197,1,91.7814989060119,1
2013-02-12,-3.97685854817984,0,16.46694914399969,1,86.4699728433797,1
2013-02-13,12.252653735331553,1,22.90454636166379,1,93.59800961363523,1
2013-02-14,-0.541869952343732,0,9.190227407249441,1,72.60987844206551,1
2013-02-15,0.8218360268648306,1,11.828165010927961,1,75.12438656180345,1
2013-02-16,-1.5356923518041965,0,9.105026775734327,1,88.85865271386135,1
2013-02-17,0.19857819592015158,1,11.1682507599131,1,121.67124583571236,1
2013-02-18,9.218168701135653,1,12.805308151016304,1,138.5794311152667,1
2013-02-19,1.330727104100915,1,5.942942611765889,1,140.95780116955652,1
2013-02-20,-0.27307246747031444,0,3.8832137114704013,1,135.58121588260116,1
2013-02-21,1.8609489397326984,1,12.277919578190645,1,116.20404057673159,1
2013-02-22,-1.6332860490482215,0,14.100626087357448,1,136.38107445523923,1
2013-02-23,0.3263109593988567,1,15.052113043880212,1,147.02793094704322,1
2013-02-24,1.6740968075057205,1,15.582357123545787,1,163.34087920251673,1
2013-02-25,2.5740221672567953,1,19.14969934951529,1,192.27702650720872,1
2013-02-26,-0.639331702639212,0,30.539546411075168,1,179.67795095979562,1
2013-02-27,7.78576777935267,1,33.480326223941745,1,191.95668591370776,1
2013-02-28,3.5145475756876765,1,25.41115916127634,1,176.07894744988468,1
2013-03-01,-0.8130044389484059,0,27.33607138448033,1,169.82685771827906,1
2013-03-02,0.7886877990195273,1,36.56097683516792,1,203.2485837685059,1
2013-03-03,4.812173481621573,1,33.438656760211046,1,241.67367155987134,1
2013-03-04,12.379354714064084,1,33.735544782832875,1,271.63632858664675,1
2013-03-05,1.599053947956408,1,8.429144782459975,1,225.38003968674775,1
2013-03-06,1.269890932227824,1,13.836080207607226,1,243.73958069212267,1
2013-03-07,5.103372838451037,1,12.518017432985374,1,243.30840787764586,1
